,gender,score
0,1,0.9580330379519847
1,0,0.2148706027544115
2,1,0.5926713660818816
3,1,0.25932654914027076
4,1,0.5948718576971489
5,1,0.32769377921639353
6,0,0.031629588949065535
7,0,0.9302086201970899
8,1,0.7421585654941333
9,1,0.7321551642552047
10,1,0.9629717476161848
11,0,0.03671808464676751
12,1,0.9559657767699199
13,0,0.18629460065305947
14,0,0.34542579884020974
15,1,0.20356085897768617
16,0,0.29654102612605204
17,0,0.10159246277066025
18,0,0.5917156652896366
19,0,0.7723081926922853
20,0,0.6075986883359046
21,0,0.8282923104961546
22,0,0.5302737805890919
23,0,0.2383900762606277
24,0,0.797220111985612
25,1,0.038867793817544016
26,0,0.8097457230708204
27,0,0.9175979492750127
28,1,0.7471187076619735
29,0,0.7707733173932904
30,1,0.565254177797426
31,1,0.9118609924450362
32,1,0.7461075677544737
33,1,0.4669047906301036
34,0,0.06141370442081784
35,0,0.006282255108453927
36,0,0.9810221742690162
37,0,0.13692712264127893
38,1,0.6694628159087261
39,0,0.1603473314849576
40,1,0.8679032387157845
41,1,0.0408905061252669
42,1,0.9156115455592438
43,1,0.3633227629755522
44,0,0.6573687663685943
45,0,0.4551882398468614
46,0,0.8764921746847241
47,1,0.4577739015606789
48,1,0.12068641159015203
49,1,0.15359614174505276
50,0,0.8854890276540196
51,0,0.2860307041910143
52,0,0.22387294767532362
53,1,0.9061734920383263
54,0,0.8984398934732392
55,1,0.5094503858661388
56,0,0.6715185905762313
57,1,0.758959916337302
58,1,0.5510049073677059
59,1,0.8135601782485767
60,1,0.801995678794387
61,0,0.5397827752073185
62,1,0.11073192299096524
63,0,0.9121493680637116
64,1,0.515122865738442
65,1,0.20783289073161482
66,1,0.008936127012097339
67,0,0.6174126362006715
68,1,0.6909210003651126
69,1,0.8153529782120101
70,0,0.21051472158144058
71,1,0.19429740087316616
72,1,0.009749431429111
73,1,0.7557426101436497
74,1,0.5994897350088318
75,0,0.47776765621281636
76,0,0.08413130806314817
77,1,0.03946491943897956
78,0,0.6223063403103432
79,0,0.43407096020580316
80,0,0.11795757488207115
81,0,0.06489852186424494
82,0,0.6444102055369915
83,1,0.754720602647464
84,0,0.06345256555060574
85,1,0.3581680596730502
86,0,0.3075030591328919
87,0,0.5229696652403901
88,0,0.114650454731406
89,0,0.4456489429748063
90,0,0.6279153409380905
91,0,0.5415788786499761
92,0,0.1706039465348922
93,1,0.657185883199654
94,0,0.19095579027075826
95,1,0.9924276247049406
96,0,0.2929521430437202
97,1,0.6618122682218834
98,1,0.1679911137543728
99,1,0.7328407597578542
100,0,0.25186988943523136
101,1,0.5095012935862544
102,1,0.8236685439324368
103,0,0.19349539027068252
104,0,0.1873781517381381
105,0,0.9706644063429108
106,1,0.3142616738926448
107,0,0.1470107074931164
108,0,0.7776762535813251
109,1,0.6446310299462075
110,0,0.6129108064822134
111,1,0.8890713054361515
112,0,0.3315386795116976
113,0,0.7921378110004569
114,1,0.4630726798561945
115,1,0.7744828169503903
116,0,0.8057128651852576
117,0,0.5721469567003096
118,1,0.14954669869838233
119,1,0.6874465570293278
120,1,0.6069296740934542
121,1,0.1649135633343397
122,0,0.06770452947789818
123,1,0.8258063528954176
124,0,0.535207489723844
125,1,0.589344372680168
126,1,0.5723082536738848
127,1,0.4243890078531807
128,0,0.6582019611154348
129,0,0.7954335955085071
130,1,0.7462456789254833
131,1,0.5469666015942418
132,1,0.40727399934647956
133,0,0.5570157229728934
134,1,0.01294880232294382
135,1,0.398247723319305
136,1,0.4101784536499007
137,1,0.47597852689494746
138,1,0.4790716155064584
139,0,0.16680526523040695
140,0,0.16268800523950222
141,1,0.3552360098350813
142,0,0.7974472599886047
143,1,0.9668438094610262
144,1,0.015797982344889605
145,0,0.8948130684567323
146,0,0.9858396773984374
147,0,0.8659538690763274
148,0,0.915156820863566
149,0,0.8217057341073593
150,0,0.34798988894313987
151,1,0.7939531590357461
152,0,0.8516756366975442
153,0,0.7699269261636836
154,1,0.022334832201667543
155,1,0.07042468361760423
156,1,0.5244469059453108
157,0,0.10785880764770128
158,0,0.17865392508245304
159,1,0.18670508760225912
160,1,0.6912538920046204
161,1,0.7136918752067614
162,0,0.33944060966443623
163,0,0.0374542085113756
164,1,0.6874498194276475
165,1,0.6673940751202425
166,1,0.418116061816329
167,0,0.29896839001648934
168,1,0.6100169642503048
169,1,0.714630238621344
170,1,0.784090197056367
171,1,0.8352708202579431
172,1,0.5089422598313159
173,1,0.3120577096151058
174,0,0.11947986827655188
175,1,0.20152322859676364
176,0,0.3328557496556588
177,1,0.31597536113211555
178,0,0.024001393760473277
179,0,0.7379888706830974
180,1,0.2528799788035955
181,1,0.07128405157607909
182,1,0.19482786983639633
183,1,0.46188503793642377
184,1,0.9833790886101539
185,0,0.8066680837305624
186,1,0.6896738061200544
187,0,0.45354192497260737
188,0,0.5595331323333661
189,1,0.9356763762413853
